v8-version,3,32,7,0,0
code-creation,Stub,2,0x94a06000,408,"CEntryStub"
code-creation,Stub,2,0x94a061a0,583,"CEntryStub"
code-creation,Stub,2,0x94a06400,170,"StoreBufferOverflowStub"
code-creation,Stub,2,0x94a064c0,390,"StoreBufferOverflowStub"
code-creation,Stub,2,0x94a06660,116,"StubFailureTrampolineStub"
code-creation,Stub,2,0x94a066e0,117,"StubFailureTrampolineStub"
code-creation,Stub,2,0x94a06760,454,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x94a06940,418,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x94a06b00,474,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x94a06ce0,434,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x94a06ea0,414,"ArrayNoArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x94a07040,414,"ArrayNoArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x94a071e0,434,"ArrayNoArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x94a073a0,434,"ArrayNoArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x94a07560,578,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x94a077c0,538,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x94a079e0,594,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x94a07c40,558,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x94a07e80,562,"ArraySingleArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x94a080c0,562,"ArraySingleArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x94a08300,558,"ArraySingleArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x94a08540,558,"ArraySingleArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x94a08780,546,"ArrayNArgumentsConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x94a089c0,506,"ArrayNArgumentsConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x94a08bc0,562,"ArrayNArgumentsConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x94a08e00,526,"ArrayNArgumentsConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x94a09020,550,"ArrayNArgumentsConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x94a09260,550,"ArrayNArgumentsConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x94a094a0,474,"ArrayNArgumentsConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x94a09680,474,"ArrayNArgumentsConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x94a09860,2719,"RecordWriteStub"
code-creation,Stub,2,0x94a0a300,2688,"RecordWriteStub"
code-creation,Stub,2,0x94a0ad80,566,"CreateAllocationSiteStub"
code-creation,Stub,11,0x94a0afc0,149,"BinaryOpICStub(BIT_OR:None*None->None)"
code-creation,Stub,11,0x94a0b060,149,"BinaryOpICStub(BIT_OR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x94a0b100,149,"BinaryOpICStub(BIT_OR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x94a0b1a0,149,"BinaryOpICStub(BIT_XOR:None*None->None)"
code-creation,Stub,11,0x94a0b240,149,"BinaryOpICStub(BIT_XOR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x94a0b2e0,149,"BinaryOpICStub(BIT_XOR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x94a0b380,149,"BinaryOpICStub(BIT_AND:None*None->None)"
code-creation,Stub,11,0x94a0b420,149,"BinaryOpICStub(BIT_AND_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x94a0b4c0,149,"BinaryOpICStub(BIT_AND_ReuseRight:None*None->None)"
code-creation,Stub,11,0x94a0b560,149,"BinaryOpICStub(SHL:None*None->None)"
code-creation,Stub,11,0x94a0b600,149,"BinaryOpICStub(SHL_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x94a0b6a0,149,"BinaryOpICStub(SHL_ReuseRight:None*None->None)"
code-creation,Stub,11,0x94a0b740,149,"BinaryOpICStub(SAR:None*None->None)"
code-creation,Stub,11,0x94a0b7e0,149,"BinaryOpICStub(SAR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x94a0b880,149,"BinaryOpICStub(SAR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x94a0b920,149,"BinaryOpICStub(SHR:None*None->None)"
code-creation,Stub,11,0x94a0b9c0,149,"BinaryOpICStub(SHR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x94a0ba60,149,"BinaryOpICStub(SHR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x94a0bb00,149,"BinaryOpICStub(ROR:None*None->None)"
code-creation,Stub,11,0x94a0bba0,149,"BinaryOpICStub(ROR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x94a0bc40,149,"BinaryOpICStub(ROR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x94a0bce0,149,"BinaryOpICStub(ADD:None*None->None)"
code-creation,Stub,11,0x94a0bd80,149,"BinaryOpICStub(ADD_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x94a0be20,149,"BinaryOpICStub(ADD_ReuseRight:None*None->None)"
code-creation,Stub,11,0x94a0bec0,149,"BinaryOpICStub(SUB:None*None->None)"
code-creation,Stub,11,0x94a0bf60,149,"BinaryOpICStub(SUB_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x94a0c000,149,"BinaryOpICStub(SUB_ReuseRight:None*None->None)"
code-creation,Stub,11,0x94a0c0a0,149,"BinaryOpICStub(MUL:None*None->None)"
code-creation,Stub,11,0x94a0c140,149,"BinaryOpICStub(MUL_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x94a0c1e0,149,"BinaryOpICStub(MUL_ReuseRight:None*None->None)"
code-creation,Stub,11,0x94a0c280,149,"BinaryOpICStub(DIV:None*None->None)"
code-creation,Stub,11,0x94a0c320,149,"BinaryOpICStub(DIV_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x94a0c3c0,149,"BinaryOpICStub(DIV_ReuseRight:None*None->None)"
code-creation,Stub,11,0x94a0c460,149,"BinaryOpICStub(MOD:None*None->None)"
code-creation,Stub,11,0x94a0c500,149,"BinaryOpICStub(MOD_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x94a0c5a0,149,"BinaryOpICStub(MOD_ReuseRight:None*None->None)"
code-creation,Stub,11,0x94a0c640,372,"BinaryOpICStub(ADD:Int32*Int32->Int32)"
code-creation,Stub,11,0x94a0c7c0,416,"BinaryOpICStub(ADD_ReuseLeft:Int32*Int32->Int32)"
code-creation,Stub,11,0x94a0c960,530,"BinaryOpICStub(ADD:Int32*Int32->Number)"
code-creation,Stub,11,0x94a0cb80,566,"BinaryOpICStub(ADD_ReuseLeft:Int32*Int32->Number)"
code-creation,Stub,11,0x94a0cdc0,498,"BinaryOpICStub(ADD:Int32*Number->Number)"
code-creation,Stub,11,0x94a0cfc0,534,"BinaryOpICStub(ADD_ReuseLeft:Int32*Number->Number)"
code-creation,Stub,11,0x94a0d1e0,534,"BinaryOpICStub(ADD_ReuseRight:Int32*Number->Number)"
code-creation,Stub,11,0x94a0d400,300,"BinaryOpICStub(ADD:Int32*Smi->Int32)"
code-creation,Stub,11,0x94a0d540,348,"BinaryOpICStub(ADD_ReuseLeft:Int32*Smi->Int32)"
code-creation,Stub,11,0x94a0d6a0,300,"BinaryOpICStub(ADD_ReuseRight:Int32*Smi->Int32)"
code-creation,Stub,11,0x94a0d7e0,498,"BinaryOpICStub(ADD:Number*Int32->Number)"
code-creation,Stub,11,0x94a0d9e0,538,"BinaryOpICStub(ADD_ReuseLeft:Number*Int32->Number)"
code-creation,Stub,11,0x94a0dc00,534,"BinaryOpICStub(ADD_ReuseRight:Number*Int32->Number)"
code-creation,Stub,11,0x94a0de20,438,"BinaryOpICStub(ADD:Number*Number->Number)"
code-creation,Stub,11,0x94a0dfe0,474,"BinaryOpICStub(ADD_ReuseLeft:Number*Number->Number)"
code-creation,Stub,11,0x94a0e1c0,474,"BinaryOpICStub(ADD_ReuseRight:Number*Number->Number)"
code-creation,Stub,11,0x94a0e3a0,410,"BinaryOpICStub(ADD:Number*Smi->Number)"
code-creation,Stub,11,0x94a0e540,446,"BinaryOpICStub(ADD_ReuseLeft:Number*Smi->Number)"
code-creation,Stub,11,0x94a0e700,410,"BinaryOpICStub(ADD_ReuseRight:Number*Smi->Number)"
code-creation,Stub,11,0x94a0e8a0,280,"BinaryOpICStub(ADD:Smi*Int32->Int32)"
code-creation,Stub,11,0x94a0e9c0,280,"BinaryOpICStub(ADD_ReuseLeft:Smi*Int32->Int32)"
code-creation,Stub,11,0x94a0eae0,470,"BinaryOpICStub(ADD:Smi*Int32->Number)"
code-creation,Stub,11,0x94a0ecc0,410,"BinaryOpICStub(ADD:Smi*Number->Number)"
code-creation,Stub,11,0x94a0ee60,410,"BinaryOpICStub(ADD_ReuseLeft:Smi*Number->Number)"
